gene,D,chronos_hct116,pan_essentiality,CRA,CR,halflife_h,ZC,is_mito,E,L,R,F,Zc_dev,E_n,D_n,L_n,R_n,F_n,Zc_n,score,rank,apop_rank
GPX1,0.1054057142857143,-0.0235057511854604,0.0016556291390728,4.0,2.76182,,-0.1330603889457523,True,0.023466834378861955,4.0,2.76182,0.0,0.01841173649163086,0.005450978204781991,0.0639711456047087,0.13333333333333333,0.13809100000000002,0.0,0.04597980373626074,0.06383927732966024,3771,70
IFITM3,0.2059428571428571,-0.548637393507698,0.8658940397350994,0.0,0.0,,-0.2212257100149476,False,0.073575544493582,0.0,0.0,0.0,0.10488332515470104,0.01709044700979105,0.15113876764383846,0.0,0.0,0.0,0.26201870787863174,0.06356969979002045,3806,71
CASP9,0.1203292181069958,-0.005274688976427,0.0016556291390728,5.0,1.48202,,-0.1205291523762861,True,0.005265956047658081,5.0,1.48202,0.0,0.03094297306109707,0.0012231991405274568,0.07691010829674978,0.16666666666666666,0.074101,0.0,0.07728759694178185,0.06341952207827226,3829,72
CASP6,0.0603657142857142,0.249096366327559,0.0024834437086092,5.0,1.4159,,-0.1095334685598377,False,0.24847774952376542,5.0,1.4159,0.0,0.006808916300408849,0.057717490785521505,0.02492060582339561,0.16666666666666666,0.070795,0.0,0.016991547618524925,0.06126025636360138,4113,73
CD44,0.0630742857142857,-0.1775266751753839,0.0182119205298013,2.0,1.60333,,0.0314195944015995,False,0.17429357347516997,2.0,1.60333,0.0,0.14776197926184603,0.040485668194876256,0.02726898895665402,0.06666666666666667,0.0801665,0.0,0.3691458878880302,0.06080866653986059,4181,74
ANXA1,0.0739542857142857,-0.1694552498203139,0.0,3.0,2.46655,,-0.1515863689776733,False,0.1694552498203139,3.0,2.46655,0.0,0.035243984117426755,0.03936180136373443,0.03670215664805468,0.1,0.12332749999999999,0.0,0.0880331577633158,0.06071997029170252,4195,75
ADD1,0.0895542857142857,-0.0087686542596304,0.0,4.0,3.08056,11.2,-0.1041080472706809,False,0.0087686542596304,4.0,3.08056,0.0,0.012234337589565644,0.002036821093243343,0.0502276544408718,0.13333333333333333,0.154028,0.0,0.030546312691560978,0.06031085829481259,4246,76
LGALS3,0.1255657142857142,0.1274221431145741,0.0,1.0,2.40551,,-0.0929839391377852,False,0.1274221431145741,1.0,2.40551,0.0,0.023358445722461346,0.029598168790495344,0.0814502504446569,0.03333333333333333,0.12027550000000001,0.0,0.05833856408590118,0.05927277897484073,4385,77
CDK2,0.0789828571428571,-0.3602586127205867,0.7110927152317881,1.0,2.56922,,-0.2309172546504169,False,0.1040813376154675,1.0,2.56922,0.0,0.11457486979017036,0.0241764651212399,0.04106202406844992,0.03333333333333333,0.128461,0.0,0.2862318710096088,0.05815229030738739,4564,78
SC5D,0.1808023952095808,0.0118097419222415,0.0074503311258278,1.0,0.0,,-0.2212968471148126,False,0.01172175543441023,1.0,0.0,0.0,0.10495446225456605,0.0027227802592883718,0.12934150723429158,0.03333333333333333,0.0,0.0,0.26219643539973214,0.05772910801806059,4637,79
