Gene,Protein ID,log2fc_24h,log2fc_48h,mean_A,mean_C,mean_B
Hsp90aa1,P07901,-0.18560338371147442,-0.7204407299951279,7014016900.0,6167293575.0,4256891080.0
Pdia4,P08003,-0.3489934153717869,0.0405619814185329,1572991552.5,1235005535.0,1617844450.0
Aprt,P08030,0.379671252096904,-0.39223461424206857,864049882.0,1124168082.5,658361507.5
Zfp2,P08043,,,,,
Hsp90b1,P08113,-0.16653137165629897,0.10424145840948762,4362734230.0,3887118847.5,4689629825.0
Col3a1,P08121,-0.5941087851947857,-0.1225726108735794,2801170242.5,1855645185.0,2573009985.0
S100a10,P08207,0.45426650407994884,0.9385296273604099,1921114560.0,2632092255.0,3681958025.0
Sod1,P08228,,,,,
Mdh2,P08249,0.2534578095804705,0.3933022034307477,11019540450.0,13135962100.0,14473022725.0
Nras,P08556,,,,,
Gnai2,P08752,0.38733955636972545,0.48673784350994126,1157738175.0,1514297407.5,1622307010.0
Polr2a,P08775,-0.17285749698438627,-0.15714985515509516,392574248.0,348246304.0,352058624.0
Itgb1,P09055,0.40325579161970315,0.6629273308124232,1265106592.5,1673089632.5,2003033120.0
P4hb,P09103,-0.1061664114401274,0.19852402057210752,3934732095.0,3655576640.0,4515198552.5
Ncl,P09405,-0.15119291709540955,-0.2504938062274718,9635109900.0,8676470000.0,8099356650.0
Pgk1,P09411,-0.5780745384817771,-0.9122596680757178,8610809325.0,5768012550.0,4575372405.0
Junb,P09450,-0.10146866634971956,-0.06320586313417276,243334144.0,226807776.0,232903594.66666666
Fth1,P09528,0.6964935305066515,1.7095754705496518,192238650.66666666,311534504.0,628744510.0
Hmgn2,P09602,-0.12783952133026746,-0.29786901950416644,2217353185.0,2029323775.0,1803712705.0
Sod2,P09671,0.4714997433144015,0.5606098600683118,731412770.0,1014140447.5,1078755250.0
Chmp6,P0C0A3,,,,,
H2az1,P0C0S6,0.28861203166195,0.14127940939002903,8004076800.0,9776696325.0,8827558150.0
Psmg4,P0C7N9,,,,,
Znf703,P0CL69,,,,,
Ndufb1,P0DN34,0.22843873173615756,1.2023965789009463,213473352.0,250098208.0,491248352.0
Mnda,P0DOV1,-0.4568216920283227,-0.04299031504444098,300797656.0,219158044.0,291966533.3333333
Ifi204,P0DOV2,,,,,
Calm1,P0DP26,,-0.1790647376246849,264631461.33333334,,233742464.0
Eef1akmt4,P0DPE0,,0.18356561923955375,97881784.0,,111163096.0
Zfp28,P10078,0.7329552925644857,,77467478.0,128754064.0,
Anxa1,P10107,-0.35074443921641135,-0.02484519709049566,6535265925.0,5124820600.0,6423683200.0
Eef1a1,P10126,-0.06587873039646633,-0.42546630910197847,66661405500.0,63685856250.0,49635950750.0
,P10404,0.6342138724314142,0.7680321241849846,650323315.0,1009361472.5,1107465055.0
Ctsb,P10605,0.7819644408821839,0.6299248378142155,446319432.0,767433137.5,690672345.0
Txn,P10639,-0.13136893555437526,0.2123116292533109,824262992.5,752523057.5,954944145.0
Gstm1,P10649,1.1167292136820277,1.0897361672165742,441984168.0,958463775.0,940697493.3333334
