gene,n_sites,max_cr,n_engaged
CD97,1,1.60854,0
CDA,6,12.9859,3
CDAN1,4,3.34614,0
CDC123,6,2.52962,0
CDC16,4,2.58652,0
CDC20,2,2.06359,0
CDC23,7,3.0507,0
CDC25B,1,2.55623,0
CDC25C,3,2.01528,0
CDC27,11,4.206,1
CDC34,1,2.55899,0
CDC37L1,4,4.32657,1
CDC40,2,2.80299,0
CDC42,3,1.77724,0
CDC42BPA,11,2.96976,0
CDC42BPB,7,4.51745,1
CDC42BPG,4,2.69941,0
CDC42EP2,1,2.20478,0
CDC45,1,2.39794,0
CDC6,3,2.30297,0
CDC7,6,3.11927,0
CDC73,1,2.24388,0
CDCA2,11,4.61378,2
CDCA4,3,2.60373,0
CDCA5,2,1.77775,0
CDCA7,7,2.30556,0
CDCA7L,12,3.01266,0
CDCA8,1,1.75781,0
CDCP1,6,2.2999,0
CDH1,1,1.97703,0
CDH3,4,6.40673,1
CDK11A,2,5.06851,1
CDK11B,3,2.61561,0
CDK12,3,2.30924,0
CDK13,6,3.41311,0
CDK16,2,1.92482,0
CDK18,1,2.06503,0
CDK19,1,1.53108,0
CDK2,2,2.56922,0
CDK4,3,3.11047,0
CDK5,3,5.16852,1
CDK5RAP1,3,2.09389,0
CDK5RAP2,9,3.67106,0
CDK5RAP3,3,2.50661,0
CDK6,3,2.60569,0
CDK7,2,2.28098,0
CDK8,2,2.78766,0
CDK9,3,1.7739,0
CDKAL1,3,3.66773,0
CDKN1A,4,2.90096,0
CDKN2AIP,4,2.69044,0
CDKN3,4,7.92195,2
CDPF1,7,3.44092,0
CDR2,3,3.54212,0
CDS1,1,5.01538,1
CDT1,5,4.63407,3
CDX2,1,2.63557,0
CDYL,1,1.78801,0
CEBPB,1,4.83539,1
CEBPZ,4,2.05418,0
CECR5,2,2.75434,0
CELF1,6,8.98515,1
CELF2,1,20.0,1
CENPB,3,1.9241,0
CENPC,1,2.37433,0
CENPE,6,5.53874,1
CENPF,24,3.71599,0
CENPH,1,3.62026,0
CENPI,4,2.86592,0
CENPM,2,1.97575,0
CENPO,2,1.84569,0
CENPV,4,3.32312,0
CENPW,1,2.54599,0
CEP120,1,2.23148,0
CEP128,1,20.0,1
CEP152,2,1.88838,0
CEP170,2,3.44062,0
CEP170B,2,2.65963,0
CEP192,11,2.67288,0
CEP250,1,2.68038,0
CEP350,1,3.5988,0
CEP41,2,2.43857,0
CEP44,1,1.684,0
CEP55,4,2.25714,0
CEP76,4,3.20913,0
CEP78,2,2.42003,0
CEP85,3,5.4587,1
CEP95,2,3.33238,0
CEP97,2,2.10086,0
CERK,2,4.1359,1
CERS5,1,2.48351,0
CERS6,2,2.29437,0
CFI,1,1.83941,0
CFL1,4,7.30943,1
CGGBP1,3,2.53783,0
CGRRF1,3,1.69225,0
CHAF1A,11,4.11416,1
CHAF1B,3,1.88107,0
CHAMP1,3,3.3114,0
CHCHD10,2,2.62714,0
CHCHD2,2,2.31717,0
CHCHD3,1,5.19804,1
CHCHD4,1,3.199,0
CHD1,12,2.69744,0
CHD1L,4,1.62493,0
CHD2,2,2.18488,0
CHD3,6,2.90694,0
CHD4,6,2.3293,0
CHD5,3,1.94763,0
CHD6,8,3.61782,0
CHD7,8,3.4218,0
CHD8,2,1.77915,0
CHD9,4,2.17582,0
CHDH,2,2.37629,0
CHEK1,4,2.12465,0
CHEK2,3,2.1925,0
CHERP,3,2.21853,0
CHKA,2,4.83958,2
CHM,7,2.21259,0
CHML,3,1.94967,0
CHMP5,1,2.06725,0
CHN1,2,2.20538,0
CHORDC1,3,2.47289,0
CHPF,5,3.35015,0
CHPF2,2,1.85172,0
CHRAC1,1,12.2509,1
